Scenario,Circuit,Samples,ObservedLapTime_s,IdealizedThermalLap_s,ModeledGripDeficit_s,DeficitPctLap,Deficit_s_per_km,PeakEffectiveState_C,MeanEffectiveState_C,PercentInNominalWindow,MeanMuRatio,MinMuRatio,MaxGripLossPct,AirTemp_C,TrackTemp_C,Iterations,Converged
heatScale_0.75,Bahrain,5366,89.1288278537029,91.2429496263551,2.11412177265221,2.37198426543021,0.394058112330328,158.287790505352,121.002622880911,48.9750279537831,0.918903632099672,0.82160934841794,17.839065158206,17.9,20.9,3,1
heatScale_0.75,Monaco,3286,70.3546961248182,72.5033874019058,2.14869127708764,3.05408365814783,0.654091712964273,150.435570763348,118.708894419711,60.438222763238,0.931571799784567,0.836271713556128,16.3728286443872,21.2,43.3,4,1
heatScale_0.75,Monza,5750,79.7082519464033,81.3494635062254,1.64121155982212,2.05902340064576,0.285477745663963,159.790776730341,119.352876788916,49.2869565217391,0.923034228769673,0.81941762958101,18.0582370418989,33.7,47.9,4,1
heatScale_0.75,Silverstone,5835,86.2229050259603,89.7674189580806,3.54451393212025,4.1108727791682,0.607561524189279,177.23029553926,130.772163812498,38.7489288774636,0.899240693384256,0.804672759815581,19.5327240184419,14.4,21.7,4,1
heatScale_0.75,Suzuka,5767,88.1596249892324,92.467379660177,4.3077546709446,4.88631238105963,0.74709584997305,182.13403033603,137.334632253629,33.9691347320964,0.881101583525525,0.80294571367043,19.705428632957,17,24.9,3,1
heatScale_1.25,Bahrain,5366,89.1288278537029,92.9797376217462,3.85090976804328,4.32061080660031,0.717783740548608,220.390370757363,153.534603178132,33.7308982482296,0.870505640095329,0.80003217578878,19.996782421122,17.9,20.9,3,1
heatScale_1.25,Monaco,3286,70.3546961248182,74.5469024722532,4.19220634743498,5.9586730926923,1.27616631580973,202.582858663463,147.045423750948,28.088861838101,0.872430356863768,0.800322477361031,19.9677522638969,21.2,43.3,4,1
heatScale_1.25,Monza,5750,79.7082519464033,82.7404589605491,3.0322070141458,3.80413186853563,0.52743207760407,228.795133646875,153.348918306393,34.8869565217391,0.870439382169797,0.800009592639608,19.9990407360392,33.7,47.9,4,1
heatScale_1.25,Silverstone,5835,86.2229050259603,91.728734124681,5.5058290987207,6.38557596390771,0.943748559945269,257.967290084037,172.578424721599,20.0685518423308,0.850796895932235,0.800000078194233,19.9999921805767,14.4,21.7,4,1
heatScale_1.25,Suzuka,5767,88.1596249892324,94.0081934096405,5.8485684204081,6.63406680906643,1.01431987866946,260.920288866661,180.357048357721,21.0161262354777,0.84627038028181,0.800000045587693,19.9999954412307,17,24.9,4,1
