Time,Distance,Speed,Throttle,Brake,RPM,Gear,DRS,X,Y,AirTemp_C,TrackTemp_C
14.315,837.7627777777778,179.0,12.0,1,10692.0,4,8,-2644.4467913271865,-2175.550894312369,21.2,43.3
14.329,838.440356417254,178.44000512,11.16000768,1,10637.33049984,4,8,-2650.0,-2169.0,21.2,43.3
14.515,847.2627777777778,171.0,0.0,1,9911.0,4,8,-2697.719911010089,-2116.0757356818312,21.2,43.3
14.789,859.5984982398587,162.19286125714285,0.9785709714285714,1,9310.157423542858,4,8,-2723.0,-2046.0,21.2,43.3
14.795,859.8627777777779,162.0,1.0,1,9297.0,4,8,-2723.716404934521,-2042.672393559815,21.2,43.3
15.009,869.1544694230934,156.65000320000001,24.183319466666667,1,9352.283300266667,4,8,-2749.0,-1901.0,21.2,43.3
15.035,870.2627777777778,156.0,27.0,0,9359.0,4,8,-2750.4433545710763,-1888.8879405463688,21.2,43.3
15.329,882.5838004171977,151.406252,56.3999872,0,9438.9312152,4,8,-2738.0,-1826.0,21.2,43.3
15.355,883.6850000000001,151.0,59.0,0,9446.0,4,8,-2735.278841571812,-1818.014249657783,21.2,43.3
15.589,893.783006229942,154.656248,71.4312432,0,9781.6435664,4,8,-2702.0,-1719.0,21.2,43.3
15.675,897.5516666666667,156.0,76.0,0,9905.0,4,8,-2686.4186579708658,-1683.417450338276,21.2,43.3
15.835,904.6183333333335,159.0,82.0,0,10383.0,4,8,-2650.757471592308,-1617.3739594124863,21.2,43.3
15.849,905.2392868368376,159.26414884727407,82.61634731030618,0,10402.811163545555,4,8,-2647.0,-1611.0,21.2,43.3
15.994,911.7733333333334,162.0,89.0,0,10608.0,4,8,-2603.470586340224,-1541.621444644067,21.2,43.3
16.009,912.4765323578297,162.71875306666666,89.34375146666666,0,10610.375010133333,4,8,-2599.0,-1535.0,21.2,43.3
16.169,920.3614103126378,170.38541973333332,93.01041813333333,0,10635.708343466667,4,8,-2554.0,-1474.0,21.2,43.3
16.389,931.9756039290639,180.9270864,98.0520848,0,10670.5416768,4,8,-2485.0,-1390.0,21.2,43.3
16.474,936.44,185.0,100.0,0,10684.0,4,8,-2443.2649302187087,-1343.027493157946,21.2,43.3
